iter	RMSE
0	0.4917419275
1	0.4895843948
2	0.4874598849
3	0.4852029683
4	0.4833599172
5	0.481507082
6	0.4797250977
7	0.4780245567
8	0.4763515755
9	0.4746687515
10	0.4730871706
11	0.4717372497
12	0.4704617404
13	0.4695167502
14	0.4683125585
15	0.4672580342
16	0.4664006583
17	0.4656255952
18	0.4648786235
19	0.4641585476
20	0.4630622396
21	0.4623279087
22	0.4617043448
23	0.4608450952
24	0.4602530705
25	0.4594550673
26	0.4586959897
27	0.4580159433
28	0.457305326
29	0.4565713312
30	0.4559193579
31	0.4551145621
32	0.4544192769
33	0.4537258655
34	0.4530781095
35	0.452573119
36	0.4519734664
37	0.4514710334
38	0.4510377467
39	0.4505569862
40	0.4500748742
41	0.449442765
42	0.448884189
43	0.4485692825
44	0.4480890853
45	0.4476237024
46	0.4472507782
47	0.4467148412
48	0.446164808
49	0.4456014258
50	0.44506613
51	0.4445151481
52	0.4440944895
53	0.4436211903
54	0.4432495937
55	0.4429250952
56	0.4424675166
57	0.4420914846
58	0.441819896
59	0.4414710798
60	0.441142586
61	0.4407678915
62	0.4404076553
63	0.4400443736
64	0.4396821648
65	0.4394114781
66	0.4390594815
67	0.4387359064
68	0.4384416737
69	0.4381835191
70	0.4378378195
71	0.4374841053
72	0.4371136696
73	0.4368683673
74	0.4365431215
75	0.4361827575
76	0.4358411566
77	0.4355082903
78	0.4351979917
79	0.4349215766
80	0.4346808753
81	0.4343325341
82	0.4340633093
83	0.4336894893
84	0.4333451822
85	0.4330551818
86	0.4327629184
87	0.4324085938
88	0.4320908317
89	0.4318127683
90	0.4315299491
91	0.4312866752
92	0.431031346
93	0.4307889208
94	0.4304716729
95	0.4301821777
96	0.4299785613
97	0.4297439977
98	0.4295288566
99	0.429283038
100	0.4290247106
101	0.4287441204
102	0.4284715875
103	0.4282813876
104	0.4280612178
105	0.4277551844
106	0.4275560933
107	0.4273606776
108	0.427136256
109	0.4268765515
110	0.426652918
111	0.4264683079
112	0.4262575125
113	0.4260184161
114	0.4257231674
115	0.4254952365
116	0.4252057175
117	0.4249982171
118	0.4247507294
119	0.4245543149
120	0.4243566656
121	0.4240482017
122	0.4237648478
123	0.4235765759
124	0.4233925256
125	0.4231231332
126	0.4228846847
127	0.4226326253
128	0.4224201971
129	0.4222175536
130	0.4219941959
