iter	Passed	Remaining
0	99	99839
1	175	87802
2	262	87103
3	337	84123
4	415	82624
5	492	81548
6	571	81106
7	651	80826
8	726	80026
9	803	79554
10	884	79522
11	962	79230
12	1041	79058
13	1118	78767
14	1193	78373
15	1269	78078
16	1356	78448
17	1439	78547
18	1511	78054
19	1588	77834
20	1664	77587
21	1742	77442
22	1818	77234
23	1891	76929
24	1968	76781
25	2043	76561
26	2118	76339
27	2188	75989
28	2263	75802
29	2351	76047
30	2436	76174
31	2520	76237
32	2590	75921
33	2659	75571
34	2737	75469
35	2822	75577
36	2905	75622
37	2980	75442
38	3055	75282
39	3129	75112
40	3211	75109
41	3292	75110
42	3363	74855
43	3440	74746
44	3512	74545
45	3587	74402
46	3665	74333
47	3750	74381
48	3832	74388
49	3917	74424
50	3999	74430
51	4077	74331
52	4153	74206
53	4224	74000
54	4299	73865
55	4372	73702
56	4445	73547
57	4527	73531
58	4609	73513
59	4687	73438
60	4772	73459
61	4854	73448
62	4935	73398
63	5006	73217
64	5082	73107
65	5156	72968
66	5237	72940
67	5316	72869
68	5388	72704
69	5473	72723
70	5554	72684
71	5628	72544
72	5702	72413
73	5782	72356
74	5855	72213
75	5924	72026
76	5998	71901
77	6072	71777
78	6156	71776
79	6231	71667
80	6315	71654
81	6397	71625
82	6480	71595
83	6561	71550
84	6642	71504
85	6721	71430
86	6798	71341
87	6874	71244
88	6956	71208
89	7030	71087
90	7101	70938
91	7188	70947
92	7267	70873
93	7350	70845
94	7437	70854
95	7519	70804
96	7599	70748
97	7682	70707
98	7756	70589
99	7834	70511
100	7914	70446
101	7995	70391
102	8075	70327
103	8161	70313
104	8244	70273
105	8328	70240
106	8413	70214
107	8492	70144
108	8565	70015
109	8640	69908
110	8715	69798
111	8788	69678
112	8863	69572
113	8941	69494
114	9023	69439
115	9106	69401
116	9186	69327
117	9267	69270
118	9350	69225
119	9430	69153
120	9512	69102
121	9588	69005
122	9661	68883
123	9742	68825
124	9820	68744
125	9900	68674
126	9978	68589
127	10052	68481
128	10129	68392
129	10207	68310
130	10286	68234
131	10360	68127
132	10431	68002
133	10505	67896
134	10580	67791
135	10651	67670
136	10725	67564
137	10800	67463
138	10878	67383
139	10952	67279
140	11025	67171
141	11100	67073
142	11175	66972
143	11254	66902
144	11325	66783
145	11402	66696
146	11479	66610
147	11554	66516
148	11631	66434
149	11706	66335
150	11777	66220
151	11849	66107
152	11924	66015
153	11998	65916
154	12073	65818
155	12153	65754
156	12226	65650
157	12298	65541
158	12375	65456
159	12451	65372
160	12526	65278
161	12600	65182
162	12674	65080
163	12759	65044
164	12830	64929
165	12900	64814
166	12975	64720
167	13056	64658
168	13134	64585
169	13208	64488
170	13280	64385
171	13354	64286
172	13426	64184
173	13500	64088
174	13575	63999
175	13654	63927
176	13730	63844
177	13806	63760
178	13891	63714
179	13966	63626
180	14040	63530
181	14116	63447
182	14186	63337
183	14260	63242
184	14343	63189
185	14423	63121
186	14497	63028
187	14572	62939
188	14643	62837
189	14715	62734
190	14795	62668
191	14874	62597
192	14955	62533
193	15029	62443
194	15105	62358
195	15181	62276
196	15261	62206
197	15332	62104
198	15412	62038
199	15491	61965
200	15563	61868
201	15647	61813
202	15726	61743
203	15808	61683
204	15886	61610
205	15963	61528
206	16034	61425
207	16119	61378
208	16199	61311
209	16272	61214
210	16345	61123
211	16422	61042
212	16494	60943
213	16569	60858
214	16651	60798
215	16725	60707
216	16794	60600
217	16872	60525
218	16965	60501
219	17045	60432
220	17118	60341
221	17193	60255
222	17264	60153
223	17341	60075
224	17416	59991
225	17498	59929
226	17588	59895
227	17664	59812
228	17746	59747
229	17823	59669
230	17898	59584
231	17973	59497
232	18057	59443
233	18137	59372
234	18220	59313
235	18291	59216
236	18368	59135
237	18446	59058
238	18528	58995
239	18598	58893
240	18676	58819
241	18756	58749
242	18833	58669
243	18914	58604
244	18994	58532
245	19066	58440
246	19146	58369
247	19227	58304
248	19301	58215
249	19380	58142
250	19456	58057
251	19528	57965
252	19603	57879
253	19674	57784
254	19745	57686
255	19823	57611
256	19903	57542
257	19975	57447
258	20049	57362
259	20123	57275
260	20197	57186
261	20270	57097
262	20347	57019
263	20416	56917
264	20497	56851
265	20577	56781
266	20649	56688
267	20721	56596
268	20795	56512
269	20866	56417
270	20943	56338
271	21025	56273
272	21096	56181
273	21174	56103
274	21250	56024
275	21323	55935
276	21395	55843
277	21475	55774
278	21548	55687
279	21626	55611
280	21705	55539
281	21787	55472
282	21868	55405
283	21946	55329
284	22023	55250
285	22103	55182
286	22186	55119
287	22262	55037
288	22343	54969
289	22421	54894
290	22498	54815
291	22580	54750
292	22660	54678
293	22742	54612
294	22820	54537
295	22901	54469
296	22976	54384
297	23053	54307
298	23132	54233
299	23209	54156
300	23283	54069
301	23367	54007
302	23438	53916
303	23517	53843
304	23594	53763
305	23670	53684
306	23746	53603
307	23826	53532
308	23897	53440
309	23970	53353
310	24045	53271
311	24117	53182
312	24199	53114
313	24279	53044
314	24356	52965
315	24435	52892
316	24517	52824
317	24597	52752
318	24673	52672
319	24753	52601
320	24826	52514
321	24903	52437
322	24983	52365
323	25060	52286
324	25139	52212
325	25219	52140
326	25294	52059
327	25372	51981
328	25450	51905
329	25521	51816
330	25598	51738
331	25678	51666
332	25754	51587
333	25832	51510
334	25911	51435
335	25979	51340
336	26075	51299
337	26156	51229
338	26231	51146
339	26306	51066
340	26386	50993
341	26464	50916
342	26544	50843
343	26623	50769
344	26697	50686
345	26776	50612
346	26855	50538
347	26924	50444
348	26999	50362
349	27073	50279
350	27151	50203
351	27229	50126
352	27306	50048
353	27384	49973
354	27456	49885
355	27533	49808
356	27607	49723
357	27688	49653
358	27765	49576
359	27837	49488
360	27914	49411
361	27995	49340
362	28067	49253
363	28142	49171
364	28212	49081
365	28286	48998
366	28354	48906
367	28432	48828
368	28503	48741
369	28579	48661
370	28654	48581
371	28729	48499
372	28798	48408
373	28876	48332
374	28947	48245
375	29026	48172
376	29103	48093
377	29177	48011
378	29252	47931
379	29323	47843
380	29394	47755
381	29475	47685
382	29552	47608
383	29625	47523
384	29697	47439
385	29774	47362
386	29847	47277
387	29922	47196
388	29993	47111
389	30063	47021
390	30139	46943
391	30215	46864
392	30288	46781
393	30366	46706
394	30442	46626
395	30515	46544
396	30588	46460
397	30664	46381
398	30737	46298
399	30812	46218
400	30891	46144
401	30963	46060
402	31035	45975
403	31109	45894
404	31187	45818
405	31268	45747
406	31343	45667
407	31415	45582
408	31491	45504
409	31566	45425
410	31644	45349
411	31723	45274
412	31801	45199
413	31881	45126
414	31958	45050
415	32037	44975
416	32107	44888
417	32188	44817
418	32272	44750
419	32347	44670
420	32425	44594
421	32504	44520
422	32578	44439
423	32653	44359
424	32727	44278
425	32801	44197
426	32877	44119
427	32957	44046
428	33031	43964
429	33107	43887
430	33187	43814
431	33256	43726
432	33336	43653
433	33408	43569
434	33482	43489
435	33557	43408
436	33632	43330
437	33705	43247
438	33782	43171
439	33855	43089
440	33932	43011
441	34002	42926
442	34078	42847
443	34152	42767
444	34230	42692
445	34312	42621
446	34388	42543
447	34462	42462
448	34542	42389
449	34613	42305
450	34688	42225
451	34762	42146
452	34835	42064
453	34908	41982
454	34985	41905
455	35055	41820
456	35125	41735
457	35203	41660
458	35282	41585
459	35355	41504
460	35434	41430
461	35508	41349
462	35585	41272
463	35661	41194
464	35729	41108
465	35799	41023
466	35883	40954
467	35956	40873
468	36032	40795
469	36114	40724
470	36185	40641
471	36271	40575
472	36352	40502
473	36423	40418
474	36495	40337
475	36575	40263
476	36646	40180
477	36716	40096
478	36790	40016
479	36860	39932
480	36937	39855
481	37013	39777
482	37088	39699
483	37160	39617
484	37237	39540
485	37311	39461
486	37388	39384
487	37463	39305
488	37535	39223
489	37608	39143
490	37685	39067
491	37759	38987
492	37829	38904
493	37906	38826
494	37982	38750
