iter	Accuracy	Logloss
0	0.8041733547	0.6761118367
1	0.8009630819	0.6590289316
2	0.8121990369	0.6436816323
3	0.8154093098	0.6282884463
4	0.8073836276	0.6146567913
5	0.8154093098	0.6054389362
6	0.8138041734	0.5925948113
7	0.8138041734	0.5812035629
8	0.8138041734	0.5701969812
9	0.8138041734	0.561159539
10	0.8138041734	0.5542375082
11	0.8138041734	0.5458846717
12	0.8170144462	0.5373052532
13	0.8202247191	0.5312440482
14	0.8202247191	0.5238101128
15	0.8170144462	0.5176036829
16	0.823434992	0.5108703423
17	0.8250401284	0.5055005829
18	0.8266452648	0.4996248788
19	0.823434992	0.4965751942
20	0.823434992	0.4921313656
21	0.8202247191	0.489773728
22	0.823434992	0.4855096203
23	0.8250401284	0.4813826661
24	0.8250401284	0.4785775933
25	0.8250401284	0.4746395717
26	0.8250401284	0.4703888302
27	0.823434992	0.4672205791
28	0.8218298555	0.4634562717
29	0.8266452648	0.4604947968
30	0.8250401284	0.4568741319
31	0.8250401284	0.4552046175
32	0.8266452648	0.454093907
33	0.8250401284	0.4512888591
34	0.8250401284	0.45072692
35	0.823434992	0.4477546292
36	0.8218298555	0.4467434765
37	0.8250401284	0.443923136
38	0.8250401284	0.4419156707
39	0.8266452648	0.4403490125
40	0.8282504013	0.4381676745
41	0.8298555377	0.4359249072
42	0.8314606742	0.4350951404
43	0.8314606742	0.4341945187
44	0.8314606742	0.4322185185
45	0.8282504013	0.4311240299
46	0.8282504013	0.4295452755
47	0.8298555377	0.4268162012
48	0.8266452648	0.4260350743
49	0.8266452648	0.4247832031
50	0.8266452648	0.4242359655
51	0.8266452648	0.4233425846
52	0.8330658106	0.4217238918
53	0.8314606742	0.4199622258
54	0.8314606742	0.4190072567
55	0.8314606742	0.4181004014
56	0.8314606742	0.4172040828
57	0.8298555377	0.4160424152
58	0.8330658106	0.4150030402
59	0.834670947	0.4137711741
60	0.8362760835	0.4134857479
61	0.8362760835	0.4123557779
62	0.8378812199	0.4118622748
63	0.8394863563	0.4109292401
64	0.8394863563	0.4093728814
65	0.8394863563	0.4084547246
66	0.8426966292	0.4078562484
67	0.8426966292	0.4078216415
68	0.8426966292	0.406467134
69	0.8443017657	0.4057532143
70	0.8443017657	0.4051455543
71	0.8459069021	0.4043927286
72	0.8443017657	0.403646348
73	0.8443017657	0.4030012799
74	0.8459069021	0.4023990605
75	0.8426966292	0.4019509136
76	0.8443017657	0.4012434293
77	0.8426966292	0.3996928586
78	0.8443017657	0.3979530821
79	0.8426966292	0.3973136033
80	0.849117175	0.3963851706
81	0.8443017657	0.3953396275
