iter	Passed	Remaining
0	6	6785
1	12	6168
2	17	5693
3	21	5433
4	26	5330
5	31	5222
6	36	5234
7	42	5292
8	48	5320
9	51	5104
10	56	5080
11	60	5000
12	64	4901
13	69	4891
14	74	4916
15	79	4884
16	84	4863
17	89	4871
18	92	4794
19	96	4723
20	99	4644
21	102	4544
22	106	4540
23	112	4566
24	116	4530
25	121	4558
26	127	4583
27	130	4543
28	136	4563
29	141	4576
30	146	4589
31	150	4550
32	152	4482
33	158	4491
34	160	4425
35	164	4406
36	167	4365
37	172	4365
38	177	4381
39	182	4387
40	188	4403
41	194	4425
42	197	4405
43	203	4424
44	209	4451
45	216	4492
46	222	4514
47	228	4530
48	234	4550
49	239	4548
50	243	4523
51	248	4523
52	252	4503
53	256	4500
54	262	4510
55	267	4517
56	273	4518
57	279	4532
58	284	4537
59	289	4543
60	294	4530
61	299	4535
62	304	4535
63	310	4543
64	316	4555
65	321	4554
66	328	4567
67	330	4527
68	334	4517
69	340	4520
70	346	4531
71	350	4519
72	354	4498
73	360	4508
74	366	4519
75	370	4504
76	375	4496
77	380	4495
78	387	4512
79	393	4520
80	398	4520
81	403	4513
82	409	4519
83	412	4494
84	416	4484
85	423	4498
86	428	4500
87	432	4485
88	437	4478
89	440	4450
90	444	4438
91	449	4440
92	453	4424
93	458	4421
94	462	4410
95	466	4389
96	471	4391
97	477	4392
98	483	4397
99	488	4399
100	494	4397
101	498	4386
102	503	4386
103	508	4383
104	514	4382
105	519	4385
106	525	4384
107	531	4385
108	536	4389
109	541	4377
110	545	4372
111	548	4345
112	554	4349
113	556	4322
114	561	4323
115	569	4340
116	572	4320
117	578	4324
118	585	4334
119	590	4328
120	594	4320
121	597	4303
122	601	4291
123	607	4294
124	613	4293
125	615	4270
126	620	4268
127	626	4265
128	631	4264
129	635	4250
130	640	4248
131	646	4247
132	651	4248
133	657	4250
134	663	4248
135	665	4227
136	667	4206
137	672	4203
138	676	4192
139	680	4181
140	686	4181
141	691	4175
142	694	4162
143	698	4152
144	704	4153
145	710	4154
146	715	4154
147	722	4157
148	728	4159
149	733	4155
150	737	4145
151	742	4142
152	748	4142
153	753	4137
154	756	4122
155	761	4121
156	766	4116
157	770	4106
158	775	4102
159	779	4094
160	785	4091
161	787	4074
162	791	4066
163	796	4060
164	800	4050
165	806	4049
166	811	4046
167	816	4045
168	822	4044
169	825	4032
170	829	4019
171	834	4016
172	839	4012
173	844	4007
174	849	4002
175	852	3992
176	857	3985
177	864	3991
178	870	3993
179	876	3992
180	881	3990
181	886	3984
182	888	3965
183	893	3964
184	898	3959
185	903	3953
186	908	3949
187	910	3933
188	916	3934
189	922	3933
190	927	3927
191	930	3914
192	935	3911
193	940	3909
194	945	3902
195	949	3894
196	954	3891
197	960	3890
198	966	3890
199	972	3891
200	978	3888
201	982	3881
202	985	3871
203	991	3870
204	996	3863
205	999	3852
206	1005	3850
207	1011	3849
208	1016	3845
209	1021	3841
210	1025	3836
211	1031	3834
212	1037	3832
213	1041	3826
214	1044	3814
215	1051	3817
216	1056	3811
217	1059	3800
218	1064	3794
219	1067	3784
220	1073	3785
221	1079	3784
222	1086	3784
223	1091	3782
224	1099	3787
225	1106	3789
226	1112	3789
227	1118	3788
228	1124	3786
229	1131	3788
230	1136	3782
231	1139	3773
232	1145	3771
233	1149	3763
234	1156	3763
235	1160	3756
236	1166	3753
237	1172	3752
238	1177	3748
239	1181	3740
240	1186	3735
241	1191	3732
242	1197	3730
243	1202	3726
244	1209	3725
245	1213	3718
246	1218	3713
247	1224	3711
248	1230	3709
249	1235	3706
250	1241	3703
251	1246	3700
252	1252	3697
253	1258	3696
254	1264	3694
255	1271	3693
256	1275	3686
257	1279	3678
258	1282	3670
259	1288	3666
260	1293	3663
261	1299	3660
262	1305	3659
263	1311	3656
264	1317	3655
265	1323	3653
266	1329	3648
267	1334	3644
268	1337	3635
269	1342	3629
270	1347	3624
271	1355	3627
272	1362	3627
273	1368	3626
274	1374	3622
275	1380	3620
276	1387	3620
277	1393	3618
278	1399	3616
279	1405	3614
280	1410	3610
281	1416	3606
282	1422	3603
283	1428	3602
284	1436	3602
285	1441	3599
286	1448	3598
287	1454	3595
288	1460	3592
289	1467	3591
290	1472	3588
291	1479	3587
292	1485	3584
293	1490	3580
294	1497	3578
295	1502	3574
296	1508	3571
297	1514	3567
298	1520	3565
299	1527	3563
300	1533	3560
301	1538	3555
302	1545	3554
303	1551	3552
304	1558	3551
305	1562	3544
306	1566	3536
307	1572	3533
308	1579	3531
309	1586	3530
310	1592	3527
311	1599	3527
312	1605	3524
313	1612	3522
314	1617	3516
315	1620	3508
316	1628	3508
317	1634	3505
318	1639	3499
319	1643	3491
320	1649	3488
321	1656	3487
322	1663	3485
323	1670	3484
324	1676	3481
325	1681	3477
326	1687	3472
327	1693	3469
328	1700	3468
329	1708	3467
330	1715	3466
331	1721	3463
332	1729	3463
333	1736	3461
334	1742	3459
335	1749	3457
336	1755	3453
337	1763	3453
338	1770	3451
339	1778	3451
340	1787	3453
341	1794	3452
342	1801	3450
343	1807	3446
344	1814	3445
345	1822	3444
346	1829	3443
347	1836	3441
348	1841	3435
349	1847	3430
350	1852	3425
351	1860	3425
352	1867	3423
353	1874	3420
354	1879	3415
355	1886	3412
356	1893	3410
357	1900	3407
358	1907	3405
359	1914	3403
360	1921	3400
361	1926	3394
362	1932	3390
363	1939	3388
364	1945	3384
365	1952	3381
366	1958	3377
367	1963	3372
368	1970	3368
369	1976	3364
370	1982	3362
371	1990	3360
372	1997	3357
373	2003	3353
374	2007	3346
375	2014	3343
376	2019	3337
377	2024	3331
378	2030	3327
379	2038	3325
380	2045	3322
381	2052	3320
382	2058	3316
383	2064	3312
384	2071	3308
385	2077	3304
386	2085	3303
387	2090	3296
388	2095	3292
389	2101	3286
390	2108	3283
391	2116	3282
392	2122	3277
393	2128	3273
394	2135	3271
395	2143	3269
396	2150	3267
397	2158	3264
398	2165	3261
399	2171	3256
400	2177	3252
401	2183	3247
402	2188	3242
403	2193	3236
404	2198	3229
405	2201	3220
406	2208	3217
407	2214	3213
408	2222	3211
409	2228	3206
410	2234	3202
411	2241	3199
412	2248	3195
413	2254	3190
414	2259	3185
415	2268	3184
416	2275	3180
417	2281	3176
418	2288	3173
419	2294	3169
420	2303	3167
421	2309	3162
422	2315	3158
423	2323	3156
424	2330	3152
425	2337	3150
426	2344	3146
427	2351	3142
428	2356	3136
429	2362	3131
430	2368	3126
431	2375	3123
432	2381	3118
433	2386	3112
434	2391	3105
435	2396	3099
436	2400	3093
437	2405	3087
438	2412	3083
439	2418	3077
440	2424	3073
441	2430	3068
442	2436	3063
443	2442	3058
444	2447	3052
445	2453	3047
446	2458	3042
447	2464	3037
448	2471	3032
449	2477	3028
450	2484	3023
451	2489	3018
452	2497	3015
453	2506	3013
454	2512	3009
455	2519	3005
456	2527	3003
457	2534	2999
458	2541	2996
459	2549	2992
460	2556	2988
461	2562	2984
462	2569	2979
463	2574	2974
464	2579	2968
465	2584	2961
466	2590	2956
467	2595	2950
468	2600	2944
469	2607	2939
470	2613	2935
471	2619	2930
472	2626	2926
473	2630	2919
474	2634	2911
475	2639	2906
476	2644	2899
477	2650	2894
478	2656	2889
479	2663	2885
480	2670	2881
481	2676	2876
482	2683	2872
483	2690	2867
484	2696	2863
485	2701	2857
486	2707	2852
487	2713	2847
488	2720	2842
489	2727	2838
490	2733	2833
491	2739	2828
492	2745	2823
493	2751	2818
494	2758	2814
495	2763	2808
496	2768	2801
497	2772	2795
498	2776	2787
499	2782	2782
500	2789	2777
501	2795	2773
502	2802	2768
503	2807	2763
504	2814	2759
505	2821	2754
506	2827	2749
507	2833	2744
508	2839	2739
509	2846	2734
510	2853	2730
511	2862	2728
512	2869	2723
513	2875	2718
514	2881	2713
515	2887	2708
516	2893	2703
517	2899	2697
518	2903	2691
519	2908	2685
520	2916	2681
521	2923	2677
522	2930	2672
523	2937	2668
524	2944	2663
525	2949	2658
526	2955	2652
